Fecha,ETP,,ETR,,LLU,,LLU  INF,,LLU ESC,,inf,,ESC,,PERC,
1997-12-26,4.099999904632568,,4.099999904632568,,11.720000267028809,,11.65999984741211,,0.05999999865889549,,11.109999656677246,,0.6100000143051147,,15.210000038146973,
1997-12-27,4.099999904632568,,4.099999904632568,,11.720000267028809,,11.65999984741211,,0.05999999865889549,,11.109999656677246,,0.6100000143051147,,15.210000038146973,
1997-12-28,4.099999904632568,,4.099999904632568,,11.720000267028809,,11.65999984741211,,0.05999999865889549,,11.109999656677246,,0.6100000143051147,,15.210000038146973,
1997-12-29,4.099999904632568,,4.099999904632568,,11.720000267028809,,11.65999984741211,,0.05999999865889549,,11.109999656677246,,0.6100000143051147,,15.210000038146973,
1997-12-30,4.110000133514404,,4.110000133514404,,11.710000038146973,,11.649999618530273,,0.05999999865889549,,11.100000381469727,,0.6100000143051147,,15.210000038146973,
1997-12-31,4.110000133514404,,4.110000133514404,,11.710000038146973,,11.649999618530273,,0.05999999865889549,,11.100000381469727,,0.6100000143051147,,15.210000038146973,
1998-01-01,4.119999885559082,128.4800000190735,4.119999885559082,128.4800000190735,13.739999771118164,425.1799945831299,13.479999542236328,417.20999813079834,0.25999999046325684,7.96999979019165,12.670000076293945,392.0099983215332,1.0700000524520874,33.17000162601471,16.790000915527344,520.4900283813477
1998-01-02,4.119999885559082,,4.119999885559082,,13.739999771118164,,13.479999542236328,,0.25999999046325684,,12.670000076293945,,1.0700000524520874,,16.790000915527344,
1998-01-03,4.130000114440918,,4.130000114440918,,13.729999542236328,,13.470000267028809,,0.25999999046325684,,12.65999984741211,,1.0700000524520874,,16.790000915527344,
1998-01-04,4.130000114440918,,4.130000114440918,,13.729999542236328,,13.470000267028809,,0.25999999046325684,,12.65999984741211,,1.0700000524520874,,16.790000915527344,
1998-01-05,4.130000114440918,,4.130000114440918,,13.729999542236328,,13.470000267028809,,0.25999999046325684,,12.65999984741211,,1.0700000524520874,,16.790000915527344,
